id,food_cd,group_name,food_name,research_year,maker_name,ref_name,serving_size,calorie,carbohydrate,protein,province,sugars,salt,cholesterol,saturated_fatty_acids,trans_fat
42,D000076,찌개 및 전골류,소고기샤브샤브,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,263.75,14.7,29.1,9.8,2.4,1122.4,76.02,3.7,0.3
43,D000079,찜류,오징어순대,2019,속초,외식영양성분자료집 통합본(2012-2017년),350,466.86,58.3,45.7,5.6,0.4,1258.71,517.44,1.4,0.0
44,D000081,국 및 탕류,초당순두부,2019,강릉,외식영양성분자료집 통합본(2012-2017년),900,522.69,15.8,49.1,29.2,0.9,1203.36,0.0,3.8,0.0
45,D000085,생채및 무침류,해파리냉채,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,91.0,13.4,6.2,1.4,11.4,508.77,40.33,0.3,0.0
46,D000087,김치류,고들빼기,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0.0
47,D000097,김치류,열무얼갈이김치,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0.0
48,D000105,숙채류,미나리나물,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),50,29.53,2.24,1.02,1.83,0.0,150.33,0.0,0.25,0.01
49,D000109,숙채류,취나물,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),50,74.1,3.31,1.37,6.15,0.0,281.86,0.0,0.84,0.03
50,D000112,곡류 및 서류,경단(깨),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,319.47,74.22,4.44,0.54,26.64,180.0,0.0,0.46,0.0
51,D000113,곡류 및 서류,경단(콩),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,314.32,74.03,3.51,0.46,20.55,225.83,0.0,0.19,0.0
52,D000114,곡류 및 서류,기피편,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,219.97,48.99,5.45,0.25,2.08,281.06,0.0,0.13,0.0
53,D000116,곡류 및 서류,녹두시루떡,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,246.07,48.08,7.74,2.53,4.05,263.66,0.0,0.52,0.0
54,D000117,곡류 및 서류,메밀전병,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,167.83,21.62,6.18,6.29,0.62,345.8,8.05,1.19,0.04
55,D000119,곡류 및 서류,무지개떡,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,228.97,53.01,3.53,0.31,8.99,276.82,0.0,0.16,0.0
56,D000121,곡류 및 서류,송편(깨),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,224.15,44.96,4.92,2.74,1.15,231.82,0.0,0.48,0.0
57,D000122,곡류 및 서류,송편(콩),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,194.33,41.66,5.24,0.75,1.26,233.5,0.0,0.24,0.0
58,D000123,곡류 및 서류,수수부꾸미,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,247.89,42.1,5.73,6.29,0.24,261.0,0.0,0.97,0.03
59,D000124,곡류 및 서류,수수팥떡,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,204.24,43.03,6.7,0.59,2.82,241.93,0.0,0.16,0.0
60,D000125,곡류 및 서류,시루떡,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,217.48,47.54,5.47,0.61,3.22,277.91,0.0,0.24,0.0
61,D000126,곡류 및 서류,쑥떡,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,248.63,57.89,3.36,0.4,10.72,254.32,0.0,0.2,0.0
62,D000129,곡류 및 서류,절편,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,192.89,43.94,3.64,0.28,0.07,265.87,0.03,0.19,0.0
63,D000131,곡류 및 서류,찹쌀떡,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,276.87,65.61,3.26,0.15,17.54,225.61,0.0,0.15,0.0
64,D000136,면 및 만두류,간자장,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),650,824.54,134.22,22.33,22.03,12.16,2716.2,28.73,9.71,0.24
65,D000137,면 및 만두류,굴짬뽕,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),900,680.67,115.69,32.87,9.6,1.7,2662.35,163.31,1.41,0.04
66,D000138,면 및 만두류,기스면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.54,2.12,0.0
67,D000139,면 및 만두류,김치라면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),650,552.0,86.2,13.8,16.9,1.2,2531.6,45.65,6.8,0.1
68,D000140,면 및 만두류,김치우동,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0.0
69,D000141,면 및 만두류,냉김치말이국수,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,302.53,52.0,12.9,4.8,8.3,2121.62,88.95,1.1,0.0
70,D000142,면 및 만두류,닭칼국수,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),900,663.0,94.7,42.2,12.8,5.3,2125.17,95.67,2.5,0.0
71,D000143,면 및 만두류,둘깨칼국수,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,457.88,59.8,17.6,16.5,1.4,1192.57,3.36,1.5,0.0
72,D000147,면 및 만두류,막국수,2019,평창,외식영양성분자료집 통합본(2012-2017년),1000,571.59,109.8,20.0,5.8,9.4,3260.05,43.17,1.0,0.0
73,D000152,면 및 만두류,삼선우동,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0.0
74,D000153,면 및 만두류,삼선자장면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,803.9,126.53,33.64,18.14,10.15,2628.24,166.56,4.06,0.09
75,D000154,면 및 만두류,삼선짬뽕,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),900,662.37,101.73,39.63,10.77,1.09,2689.13,312.48,1.91,0.02
76,D000156,면 및 만두류,쌀국수,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,320.32,55.1,15.6,4.2,4.3,1651.58,33.6,1.4,0.1
77,D000157,면 및 만두류,열무김치국수,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),800,431.0,69.6,15.0,10.2,18.6,3007.45,15.37,0.6,0.1
78,D000158,면 및 만두류,열무냉면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),800,525.49,97.52,20.84,5.78,27.15,3152.37,67.78,1.36,0.0
79,D000159,면 및 만두류,오일소스스파게티,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
80,D000160,면 및 만두류,올갱이국수,2019,정선,외식영양성분자료집 통합본(2012-2017년),1500,566.0,111.6,11.2,8.3,18.6,3862.84,0.0,1.5,0.0
81,D000161,면 및 만두류,우동(일식),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,421.51,74.2,13.39,7.91,2.48,2390.32,25.98,1.49,0.01
82,D000162,면 및 만두류,우동(중식),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03
83,D000163,면 및 만두류,울면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01
84,D000164,면 및 만두류,자장면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),650,796.5,133.63,19.77,20.32,7.8,2391.58,10.76,8.52,0.17
85,D000167,면 및 만두류,짬뽕라면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),750,689.0,92.0,21.3,26.3,1.6,2493.81,106.69,8.6,0.1
86,D000169,면 및 만두류,치즈라면,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,595.0,80.0,16.8,23.0,0.9,2113.4,103.67,9.4,0.2
87,D000171,면 및 만두류,크림소스스파게티,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.67,1.01
88,D000172,면 및 만두류,토마토소스스파게티,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,642.58,93.2,24.35,19.15,15.6,1508.63,49.17,5.44,0.21
89,D000173,면 및 만두류,해물칼국수,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),900,628.26,123.9,22.8,4.61,3.81,2355.07,26.7,1.3,0.01
90,D000174,면 및 만두류,해물크림소스스파게티,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,917.57,86.97,30.39,49.79,8.36,1323.7,210.89,24.73,0.94
91,D000175,면 및 만두류,해물토마토소스스파게티,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,584.44,87.24,27.97,13.73,13.48,1533.16,159.64,3.14,0.07
92,D000178,생채및 무침류,골뱅이무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,108.79,15.69,7.08,1.97,10.46,525.52,38.35,0.26,0.02
93,D000180,생채및 무침류,노각무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,84.0,14.3,2.6,1.8,7.1,817.37,0.0,0.2,0.0
94,D000181,생채및 무침류,단무지무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),50,20.0,2.8,0.5,0.8,0.7,428.92,0.0,0.1,0.0
95,D000182,생채및 무침류,달래나물무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,136.0,23.8,4.0,2.8,11.2,867.04,0.0,0.3,0.0
96,D000183,생채및 무침류,더덕무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,216.0,43.4,4.3,2.8,20.2,1246.58,0.17,0.4,0.0
97,D000185,기타,도토리묵,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,45.6,10.38,0.29,0.32,0.43,124.15,0.0,0.03,0.0
98,D000190,생채및 무침류,밴댕이무침,2019,인천,외식영양성분자료집 통합본(2012-2017년),400,600.01,46.0,29.8,33.0,27.0,1027.23,101.51,4.6,0.2
99,D000194,생채및 무침류,서대회무침,2019,여수,외식영양성분자료집 통합본(2012-2017년),300,315.21,45.9,22.6,4.6,22.3,1198.9,67.71,0.5,0.0
100,D000195,생채및 무침류,쑥갓나물무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,96.0,6.6,4.5,5.7,0.3,709.99,0.05,0.7,0.0
101,D000200,생채및 무침류,쥐치채,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),20,55.92,10.89,2.75,0.15,4.55,296.34,8.57,0.19,0.01
102,D000201,생채및 무침류,청포묵무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,149.0,22.7,2.9,5.2,1.8,724.02,0.0,0.8,0.0
103,D000202,생채및 무침류,탕평채,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,97.5,12.26,3.55,3.81,0.39,260.4,47.24,0.73,0.03
104,D000205,생채및 무침류,홍어무침,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,198.94,25.95,17.85,2.63,14.46,802.04,57.03,0.36,0.0
105,D000206,밥류,고추장불고기 삼각김밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,165.29,34.11,3.66,1.58,0.21,342.92,3.51,0.45,0.01
106,D000207,밥류,곤드레나물밥,2019,정선,외식영양성분자료집 통합본(2012-2017년),350,521.83,98.9,10.3,9.5,0.0,90.62,0.0,0.9,0.0
107,D000208,밥류,국밥,2019,안성,외식영양성분자료집 통합본(2012-2017년),800,418.35,58.6,27.6,8.2,0.4,2301.55,47.81,2.7,0.2
108,D000212,밥류,농어초밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65,0.02
109,D000213,밥류,돼지국밥,2019,밀양,외식영양성분자료집 통합본(2012-2017년),1200,911.4,74.7,66.4,38.6,0.0,1096.58,142.55,8.4,0.2
110,D000214,밥류,류산슬덮밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.11
111,D000215,밥류,멍게비빔밥,2019,거제,외식영양성분자료집 통합본(2012-2017년),400,547.21,90.7,16.6,13.1,16.7,1144.8,21.9,2.4,0.1
112,D000216,밥류,멸치주먹밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,312.0,54.3,9.0,6.6,0.9,496.21,42.45,1.1,0.0
113,D000217,밥류,묵밥,2019,영주,외식영양성분자료집 통합본(2012-2017년),950,642.16,128.6,14.8,7.7,15.1,2075.5,42.65,1.5,0.0
114,D000218,밥류,문어초밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0.0
115,D000222,밥류,비빔밥,2019,전주,외식영양성분자료집 통합본(2012-2017년),450,691.62,98.7,24.6,22.0,18.3,1119.66,95.42,3.9,0.1
116,D000223,밥류,삼선볶음밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33,0.15
117,D000225,밥류,새우초밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,387.67,78.42,16.8,0.75,11.65,1110.29,72.65,0.55,0.01
118,D000226,밥류,새우튀김롤,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),300,606.5,96.28,14.47,18.17,11.14,1391.43,55.87,3.41,0.12
119,D000227,밥류,샐러드김밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79,0.06
120,D000228,밥류,생선초밥(광어),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
121,D000229,밥류,생선초밥(모듬),2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),300,461.97,76.43,25.42,6.06,8.65,968.94,70.87,1.51,0.04
122,D000230,밥류,소고기국밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,330.53,42.6,21.8,8.1,2.8,1786.31,41.85,2.3,0.1
123,D000231,밥류,소고기김밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,400.61,62.52,15.98,9.63,0.84,1061.19,93.09,2.53,0.11
124,D000232,밥류,송이덮밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),600,581.81,95.6,18.21,14.06,2.27,1678.01,48.2,2.79,0.1
125,D000233,밥류,숯불갈비 삼각김밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,161.24,32.55,4.0,1.67,0.16,358.36,4.04,0.53,0.02
126,D000235,밥류,약초비빔밥,2019,산청,외식영양성분자료집 통합본(2012-2017년),400,511.8,80.2,11.9,15.9,2.9,971.61,0.0,2.4,0.1
127,D000236,밥류,연어롤,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97,2.83,0.1
128,D000237,밥류,연어초밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,447.32,71.04,18.88,9.74,12.88,1064.38,32.05,1.84,0.06
129,D000238,밥류,오곡밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,388.82,82.32,11.95,1.3,0.17,113.9,0.0,0.42,0.0
130,D000243,밥류,자장밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,741.66,120.06,15.24,22.28,5.37,1560.38,26.43,8.56,0.16
131,D000245,밥류,잡탕밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),750,777.44,104.94,44.12,20.13,0.48,2109.52,329.85,4.07,0.12
132,D000246,밥류,장어덮밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,716.54,97.35,30.09,22.98,5.59,920.77,234.56,5.18,0.23
133,D000247,밥류,장어초밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,486.26,80.68,16.52,10.83,13.67,1270.91,102.77,2.91,0.1
134,D000251,밥류,참치덮밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,679.1,102.93,29.2,16.73,2.98,1618.74,115.79,3.41,0.09
135,D000252,밥류,참치마요네즈 삼각김밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6,0.01
136,D000253,밥류,충무김밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,583.93,109.16,23.42,5.96,17.19,1294.27,156.85,1.1,0.03
137,D000256,밥류,캘리포니아롤,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),300,487.64,89.23,12.33,9.05,8.9,1295.88,65.96,2.14,0.05
138,D000258,밥류,한치초밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45,0.0
139,D000259,밥류,해물덮밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),700,771.93,100.45,42.04,22.44,1.19,1802.68,286.24,5.41,0.21
140,D000260,밥류,해물볶음밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,705.22,90.46,25.1,27.0,1.22,1074.35,241.8,5.38,0.15
141,D000261,밥류,회덮밥,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),500,683.02,103.3,30.21,16.55,10.93,744.27,88.65,2.9,0.11
142,D000265,볶음류,깻잎나물볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,206.0,11.5,7.5,14.4,0.6,1042.68,0.0,1.7,0.1
143,D000268,볶음류,돼지고기볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87,5.12,0.15
144,D000269,볶음류,돼지껍데기볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,352.0,24.5,25.8,16.7,5.5,779.81,47.75,4.9,0.1
145,D000270,볶음류,두부김치,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),250,288.21,14.08,19.47,17.11,1.49,989.69,13.92,3.17,0.07
146,D000273,볶음류,머위나물볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,108.0,7.6,3.5,7.0,1.8,718.63,0.0,0.8,0.0
147,D000274,볶음류,멸치풋고추볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
148,D000276,볶음류,소세지볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,471.0,31.8,18.8,29.9,8.9,1436.06,60.26,8.8,0.2
149,D000277,볶음류,순대볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,582.0,76.7,20.7,21.3,5.4,1500.35,141.72,5.1,0.1
150,D000278,볶음류,양송이버섯볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,136.0,11.0,4.5,8.3,1.2,515.17,0.0,1.4,0.0
151,D000281,볶음류,오삼불고기,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,363.0,20.5,25.6,19.9,7.6,885.09,184.46,5.2,0.1
152,D000285,볶음류,주꾸미볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,211.41,22.82,18.33,5.2,5.06,918.86,200.76,0.61,0.02
153,D000286,볶음류,표고버섯볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),150,142.0,15.8,4.5,6.7,2.6,574.8,0.0,0.8,0.0
154,D000287,볶음류,해물볶음,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),400,419.06,32.2,38.2,15.3,7.4,1755.16,329.59,2.1,0.1
155,D000288,빵류,곰보빵,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),70,277.34,42.16,6.31,9.27,11.73,202.25,23.59,4.63,0.21
156,D000291,빵류,만주,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),70,222.49,46.8,5.13,1.64,22.45,118.19,15.67,0.91,0.04
157,D000294,빵류,버터크림빵,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),60,229.96,27.74,4.91,11.04,7.19,191.18,17.81,8.44,0.28
158,D000297,빵류,불고기피자,2019,전국(대표),외식영양성분자료집 통합본(2012-2017년),200,505.0,61.2,27.4,16.7,9.2,916.87,45.7,9.3,0.4
